Category,Brand,Item ID,Model,Description,Price,URL
French Door Refrigerators,KitchenAid,206268536,KRFC302ESS,"21.9 cu. ft. French Door Refrigerator in Stainless Steel, Counter Depth",3899.0,https://www.homedepot.com/p/KitchenAid-21-9-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-Counter-Depth-KRFC302ESS/206268536
French Door Refrigerators,FRIGIDAIRE GALLERY,324695976,GRMS2773AF,36 in. 26.3 cu. ft. 4 Door French Door Standard Depth Refrigerator in Stainless Steel,2198.0,https://www.homedepot.com/p/FRIGIDAIRE-GALLERY-36-in-26-3-cu-ft-4-Door-French-Door-Standard-Depth-Refrigerator-in-Stainless-Steel-GRMS2773AF/324695976
French Door Refrigerators,LG,325158107,LRYKC2606S,36 in. 26 cu. ft. French Door Refrigerator with Mirror InstaView and 4 Types of Ice Stainless Steel Counter Depth MAX,3688.0,https://www.homedepot.com/p/LG-36-in-26-cu-ft-French-Door-Refrigerator-with-Mirror-InstaView-and-4-Types-of-Ice-Stainless-Steel-Counter-Depth-MAX-LRYKC2606S/325158107
French Door Refrigerators,ZLINE Kitchen and Bath,322524083,RFMZ-W-36-BS-CB,"36"" Autograph Edition Freestanding French Door Refrigerator in Black Stainless Steel & Champagne Bronze Handles",4499.96,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-36-Autograph-Edition-Freestanding-French-Door-Refrigerator-in-Black-Stainless-Steel-Champagne-Bronze-Handles-RFMZ-W-36-BS-CB/322524083
French Door Refrigerators,ZLINE Kitchen and Bath,322600253,RFM-W-WF-36-BS,"36"" Freestanding French Door Refrigerator with Water and Ice Dispenser in Black Stainless Steel",4839.95,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-36-Freestanding-French-Door-Refrigerator-with-Water-and-Ice-Dispenser-in-Black-Stainless-Steel-RFM-W-WF-36-BS/322600253
French Door Refrigerators,KitchenAid,324849975,KRQC506MPS,19.4 cu. ft. 36 in. W Counter-Depth 4-Door Refrigerator with PrintShield Finish,2398.0,https://www.homedepot.com/p/KitchenAid-19-4-cu-ft-36-in-W-Counter-Depth-4-Door-Refrigerator-with-PrintShield-Finish-KRQC506MPS/324849975
French Door Refrigerators,GE Profile,312648547,PYE22PYNFS,"Profile 22.1 cu. ft. French Door Refrigerator with Kuerig K-Cup in Fingerprint Resistant Stainless Steel, Counter Depth",3598.0,https://www.homedepot.com/p/GE-Profile-Profile-22-1-cu-ft-French-Door-Refrigerator-with-Kuerig-K-Cup-in-Fingerprint-Resistant-Stainless-Steel-Counter-Depth-PYE22PYNFS/312648547
French Door Refrigerators,ZLINE Kitchen and Bath,323938822,RBIV-60,60 in. 32.2 cu. ft. Panel Ready Built-In 4-Door French Door Refrigerator with Internal Water and Ice Dispenser,11499.95,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-60-in-32-2-cu-ft-Panel-Ready-Built-In-4-Door-French-Door-Refrigerator-with-Internal-Water-and-Ice-Dispenser-RBIV-60/323938822
French Door Refrigerators,GE Profile,312648557,PFD28KYNFS,27.7 cu. ft. French Door Refrigerator with Door-in-Door in Fingerprint Resistant Stainless Steel,3418.0,https://www.homedepot.com/p/GE-Profile-27-7-cu-ft-French-Door-Refrigerator-with-Door-in-Door-in-Fingerprint-Resistant-Stainless-Steel-PFD28KYNFS/312648557
French Door Refrigerators,ZLINE Kitchen and Bath,322970560,RBIV-304-36,"36 in. 19.6 cu. ft. Built-In 3-Door French Door Refrigerator with Internal Water, Ice Dispenser in Stainless Steel",8799.95,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-36-in-19-6-cu-ft-Built-In-3-Door-French-Door-Refrigerator-with-Internal-Water-Ice-Dispenser-in-Stainless-Steel-RBIV-304-36/322970560
French Door Refrigerators,Thor Kitchen,323268805,TRF3601FD,36 in. 22 cu. ft. French Door Refrigerator in Stainless Steel Counter Depth with Ice Maker and Water Dispenser,3999.0,https://www.homedepot.com/p/Thor-Kitchen-36-in-22-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-Counter-Depth-with-Ice-Maker-and-Water-Dispenser-TRF3601FD/323268805
French Door Refrigerators,Forno,320668713,FFFFD1974-35SG,35 in 17.5 cu ft French Door No Frost Refrigerator with Ice Marker in Stainless Steel,1799.0,https://www.homedepot.com/p/Forno-35-in-17-5-cu-ft-French-Door-No-Frost-Refrigerator-with-Ice-Marker-in-Stainless-Steel-FFFFD1974-35SG/320668713
French Door Refrigerators,ZLINE Kitchen and Bath,323938857,RBIVZ-304-60-CB,"60"" Autograph Edition French Door Refrigerator with Water and Ice Dispenser in Stainless Steel & Champagne Bronze",14199.95,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-60-Autograph-Edition-French-Door-Refrigerator-with-Water-and-Ice-Dispenser-in-Stainless-Steel-Champagne-Bronze-RBIVZ-304-60-CB/323938857
French Door Refrigerators,Kucht,322788939,KR365FD,"36 in. Width 19.6 cu. ft. French Door Built-In Refrigerator in Custom Panel Ready, Counter Depth",7641.5,https://www.homedepot.com/p/Kucht-36-in-Width-19-6-cu-ft-French-Door-Built-In-Refrigerator-in-Custom-Panel-Ready-Counter-Depth-KR365FD/322788939
French Door Refrigerators,LG,325158140,LRYXC2606S,26 cu. ft. 3 Door French Door Refrigerator with Ice and Water with 4 types of Ice in Stainless Counter Depth Max,3148.0,https://www.homedepot.com/p/LG-26-cu-ft-3-Door-French-Door-Refrigerator-with-Ice-and-Water-with-4-types-of-Ice-in-Stainless-Counter-Depth-Max-LRYXC2606S/325158140
French Door Refrigerators,Hamilton Beach,324618743,HBF1558,15.6 cu. ft. French Door Refrigerator in VCM Silver Finish,1200.0,https://www.homedepot.com/p/Hamilton-Beach-15-6-cu-ft-French-Door-Refrigerator-in-VCM-Silver-Finish-HBF1558/324618743
